"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
77;"U2";"IC_BNO085";1;"BNO085_C5189642";;;
78;"U10";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
79;"5VCC-ProbePoint1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
80;"U12";"SOP65P780X200-28N";1;"ADS1256IDBRG4";;;
81;"R1_BNO85";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"10k";;;
82;"Css-24V1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4.7nF";;;
83;"Rt1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"48.7k";;;
84;"Rpg-5V1";"R_01005_0402Metric_Pad0.57x0.30mm_HandSolder";1;"100k";;;
85;"C_USB_Decap1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
86;"J1";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"Conn_01x02_Socket";;;
